Date,Sales
2023-05-02,213
2023-05-03,210
2023-05-04,210
2023-05-05,208
2023-05-06,188
2023-05-07,224
2023-05-08,221
2023-05-09,200
2023-05-10,192
2023-05-11,224
2023-05-12,215
2023-05-13,216
2023-05-14,224
2023-05-15,223
2023-05-16,251
2023-05-17,219
2023-05-18,194
2023-05-19,223
2023-05-20,207
2023-05-21,190
2023-05-22,211
2023-05-23,229
2023-05-24,229
2023-05-25,218
2023-05-26,227
2023-05-27,216
2023-05-28,203
2023-05-29,228
2023-05-30,196
2023-05-31,226
2023-06-01,252
2023-06-02,217
2023-06-03,217
2023-06-04,216
2023-06-05,241
2023-06-06,206
2023-06-07,225
2023-06-08,237
2023-06-09,260
2023-06-10,236
2023-06-11,230
2023-06-12,228
2023-06-13,198
2023-06-14,240
2023-06-15,228
2023-06-16,195
2023-06-17,222
2023-06-18,199
2023-06-19,184
2023-06-20,201
2023-06-21,203
2023-06-22,206
2023-06-23,213
2023-06-24,216
2023-06-25,219
2023-06-26,205
2023-06-27,188
2023-06-28,209
2023-06-29,205
2023-06-30,195
2023-07-01,178
2023-07-02,159
2023-07-03,195
2023-07-04,201
2023-07-05,211
2023-07-06,180
2023-07-07,201
2023-07-08,163
2023-07-09,202
2023-07-10,201
2023-07-11,184
2023-07-12,166
2023-07-13,191
2023-07-14,186
2023-07-15,188
2023-07-16,163
2023-07-17,175
2023-07-18,204
2023-07-19,169
2023-07-20,191
2023-07-21,185
2023-07-22,169
2023-07-23,156
2023-07-24,171
2023-07-25,199
2023-07-26,191
2023-07-27,175
2023-07-28,198
2023-07-29,177
2023-07-30,179
2023-07-31,202
2023-08-01,170
2023-08-02,203
2023-08-03,185
2023-08-04,190
2023-08-05,189
2023-08-06,166
2023-08-07,226
2023-08-08,198
2023-08-09,171
2023-08-10,180
2023-08-11,177
2023-08-12,167
2023-08-13,227
2023-08-14,190
2023-08-15,197
2023-08-16,174
2023-08-17,170
2023-08-18,180
2023-08-19,185
2023-08-20,194
2023-08-21,174
2023-08-22,198
2023-08-23,207
2023-08-24,195
2023-08-25,180
2023-08-26,184
2023-08-27,196
2023-08-28,159
2023-08-29,195
2023-08-30,190
2023-08-31,163
2023-09-01,207
2023-09-02,200
2023-09-03,202
2023-09-04,186
2023-09-05,197
2023-09-06,192
2023-09-07,251
2023-09-08,215
2023-09-09,227
2023-09-10,217
2023-09-11,240
2023-09-12,211
2023-09-13,230
2023-09-14,221
2023-09-15,201
2023-09-16,210
2023-09-17,194
2023-09-18,234
2023-09-19,219
2023-09-20,236
2023-09-21,210
2023-09-22,232
2023-09-23,231
2023-09-24,234
2023-09-25,221
2023-09-26,212
2023-09-27,216
2023-09-28,215
2023-09-29,208
2023-09-30,208
2023-10-01,224
2023-10-02,225
2023-10-03,215
2023-10-04,221
2023-10-05,215
2023-10-06,222
2023-10-07,223
2023-10-08,233
2023-10-09,252
2023-10-10,204
2023-10-11,223
2023-10-12,206
2023-10-13,210
2023-10-14,215
2023-10-15,206
2023-10-16,228
2023-10-17,205
2023-10-18,222
2023-10-19,208
2023-10-20,196
2023-10-21,195
2023-10-22,218
2023-10-23,211
2023-10-24,245
2023-10-25,220
2023-10-26,237
2023-10-27,192
2023-10-28,207
2023-10-29,196
2023-10-30,213
2023-10-31,215
2023-11-01,206
2023-11-02,203
2023-11-03,200
2023-11-04,206
2023-11-05,182
2023-11-06,198
2023-11-07,181
2023-11-08,196
2023-11-09,199
2023-11-10,187
2023-11-11,170
2023-11-12,199
2023-11-13,178
2023-11-14,173
2023-11-15,174
2023-11-16,159
2023-11-17,158
2023-11-18,172
2023-11-19,203
2023-11-20,184
2023-11-21,175
2023-11-22,184
2023-11-23,181
2023-11-24,183
2023-11-25,166
2023-11-26,167
2023-11-27,158
2023-11-28,191
2023-11-29,187
2023-11-30,206
2023-12-01,176
2023-12-02,182
2023-12-03,181
2023-12-04,157
2023-12-05,162
2023-12-06,193
2023-12-07,142
2023-12-08,171
2023-12-09,159
2023-12-10,184
2023-12-11,179
2023-12-12,187
2023-12-13,208
2023-12-14,165
2023-12-15,180
2023-12-16,204
2023-12-17,200
2023-12-18,164
2023-12-19,173
2023-12-20,183
2023-12-21,196
2023-12-22,173
2023-12-23,217
2023-12-24,197
2023-12-25,179
2023-12-26,191
2023-12-27,190
2023-12-28,189
2023-12-29,195
2023-12-30,205
2023-12-31,205
